feature,training_mean,training_std,evaluation_before_mean,evaluation_before_std,evaluation_after_mean,evaluation_after_std
0,-11.788516547754952,0.3562135791349635,-12.04340154746412,0.27903981557037466,-11.975431151121011,0.23790140204992669
1,-11.57860301833218,0.1747354942652249,-11.718251114822355,0.16794192056426538,-11.646175996394211,0.1820897917064402
2,-11.675201503074318,0.29030447412277754,-11.92473164772929,0.24572660437768307,-11.88680584671856,0.244113008818537
3,-11.56814115263602,0.18228293595070866,-11.71801583570398,0.16563949689532456,-11.693731666237134,0.1679531373968591
4,-11.51818324523445,0.4303595385374959,-11.99838470862582,0.35257035275515675,-12.04191740891991,0.3189889560148818
5,-11.489158928407614,0.21335847554474152,-11.69267197214392,0.2156682220162106,-11.669222852176391,0.21804009849087763
6,-11.465124385965224,0.3776185480370118,-11.21461883924503,0.5528601441173734,-11.380721356370586,0.39165143699956884
7,-10.768220227209085,0.3133054211906539,-10.752692902287542,0.3630137752798836,-10.742142216371914,0.28245798156842106
8,-11.073917711665903,0.4690446006069648,-10.85910580877248,0.5432662038734369,-11.027280299157042,0.4518192854371933
9,-10.659492190595355,0.261506446508199,-10.662708856052367,0.3250709456732478,-10.662943953381783,0.2351582698099445
10,-11.32925264671588,0.35758616928954173,-11.040827534490777,0.5429809934248002,-11.180218611964872,0.3649345114741483
11,-10.710658978412875,0.2947329690706576,-10.652886982097268,0.362123374476239,-10.638074103031421,0.26730261588071286
