subject,lambda,training_trials,testing_trials,published_csw,computed_csw,csw_difference,published_csv,computed_csv,csv_difference,matches_published
B01,0.28,400.0,320.0,14.0,3.0,-11.0,10.0,0.0,-10.0,False
B02,0.17,400.0,280.0,18.0,2.0,-16.0,13.0,2.0,-11.0,False
B03,0.6,400.0,320.0,19.0,1.0,-18.0,12.0,0.0,-12.0,False
B04,0.2,420.0,320.0,11.0,1.0,-10.0,6.0,1.0,-5.0,False
B05,0.1,420.0,320.0,12.0,1.0,-11.0,8.0,0.0,-8.0,False
B06,0.33,400.0,320.0,22.0,1.0,-21.0,12.0,1.0,-11.0,False
B07,0.3,400.0,320.0,17.0,2.0,-15.0,11.0,0.0,-11.0,False
B08,0.21,440.0,320.0,27.0,1.0,-26.0,14.0,0.0,-14.0,False
B09,0.45,400.0,320.0,18.0,3.0,-15.0,7.0,0.0,-7.0,False
Mean,0.29333333333333333,408.8888888888889,315.55555555555554,17.555555555555557,1.6666666666666667,-15.88888888888889,10.333333333333334,0.4444444444444444,-9.88888888888889,False
